System,Base URL,Category,Method,Endpoint,Description
Common Settings,https://b2b.sangvish.com,Global Options,PUT,/api/worldwide/admin/hubs/:id,Update worldwide by ID
Common Settings,https://b2b.sangvish.com,Global Options,DELETE,/api/worldwide/admin/hubs/:id,Delete worldwide by ID
Common Settings,https://b2b.sangvish.com,Global Options,GET,/api/worldwide/admin/rankings,Get list of worldwide records
Common Settings,https://b2b.sangvish.com,Global Options,POST,/api/worldwide/admin/rankings,Create / submit a new worldwide
Common Settings,https://b2b.sangvish.com,Global Options,PUT,/api/worldwide/admin/rankings/:id,Update worldwide by ID
Common Settings,https://b2b.sangvish.com,Global Options,DELETE,/api/worldwide/admin/rankings/:id,Delete worldwide by ID
Admin Backend,https://b2b.sangvish.com,Auth & Dashboard,GET,/api/admin/stats,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Product Moderation,GET,/api/admin/products,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Product Moderation,PUT,/api/admin/products/:id/approve,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Product Moderation,PUT,/api/admin/products/:id/reject,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Product Moderation,DELETE,/api/admin/products/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,KYC & Verification,GET,/api/admin/companies,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Auth & Dashboard,PUT,/api/admin/companies/:id/verify,Update admin by ID
Admin Backend,https://b2b.sangvish.com,KYC & Verification,POST,/api/admin/companies/:id/factory-audit,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,System Settings,GET,/api/admin/payment-settings,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,PUT,/api/admin/payment-settings,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Auth & Dashboard,GET,/api/admin/social-login,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Auth & Dashboard,PUT,/api/admin/social-login,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/audit-logs,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/risk-alerts,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,GET,/api/admin/site-settings,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,PUT,/api/admin/site-settings,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/database-backup,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/dummy-data/status,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/dummy-data/import,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/dummy-data/cleanup,Create / submit a new admin
